Timestamp,1. What is your year of study?,2. What is your gender?,3. How often do you have difficulty falling asleep at night?,"4. On average, how many hours of sleep do you get on a typical day?",5. How often do you wake up during the night and have trouble falling back asleep?,6. How would you rate the overall quality of your sleep?,7. How often do you experience difficulty concentrating during lectures or studying due to lack of sleep?,"8. How often do you feel fatigued during the day, affecting your ability to study or attend classes?","9. How often do you miss or skip classes due to sleep-related issues (e.g., insomnia, feeling tired)?",10. How would you describe the impact of insufficient sleep on your ability to complete assignments and meet deadlines?,Phone_Use,Caffeine,Exercise,Stress,GPA,Sleep_Index
10/24/2024 17:50:35,Third year,Female,5,5,5,3,4,4,5,4,5,3,4,2,2,4.375
10/24/2024 17:50:59,Second year,Male,4,4,3,3,4,3,4,4,3,4,3,4,2,3.625
10/24/2024 17:53:05,Third year,Male,4,5,4,4,3,3,4,4,4,4,4,4,2,3.875
10/24/2024 17:53:28,Third year,Female,4,4,4,3,4,4,3,4,3,4,4,4,2,3.75
10/24/2024 17:53:55,Graduate student,Female,5,4,4,4,4,5,4,3,5,5,5,4,2,4.125
10/24/2024 17:57:22,Third year,Female,4,5,5,5,5,4,4,3,3,4,4,4,2,4.375
10/24/2024 17:57:48,Second year,Female,4,4,5,2,2,3,2,3,3,3,3,4,2,3.125
10/24/2024 18:02:23,Third year,Male,3,4,2,2,2,2,2,2,2,2,2,2,2,2.375
10/24/2024 18:02:48,Second year,Male,5,4,4,4,2,2,2,3,3,2,2,4,2,3.25
10/24/2024 18:03:13,Graduate student,Male,4,4,4,2,3,3,2,3,3,3,3,4,2,3.125
10/24/2024 18:03:45,Second year,Male,4,4,5,5,3,4,3,4,3,3,4,4,2,4
10/24/2024 18:04:13,Third year,Male,4,4,4,4,3,3,4,4,4,4,4,4,2,3.75
10/24/2024 18:05:24,Graduate student,Male,5,5,5,5,3,5,3,4,3,4,3,4,2,4.375
10/24/2024 18:06:00,Graduate student,Male,3,4,4,3,3,4,4,4,4,4,4,4,2,3.625
10/24/2024 18:11:45,Graduate student,Male,5,4,5,4,5,4,4,3,4,4,4,2,2,4.25
10/24/2024 18:12:27,Third year,Male,4,4,5,5,2,3,4,3,4,4,4,4,2,3.75
10/24/2024 18:12:45,Third year,Male,1,2,3,4,4,3,2,4,2,3,4,4,2,2.875
10/24/2024 18:13:32,Third year,Female,3,3,4,4,2,3,3,2,3,3,4,4,1,3
10/24/2024 18:17:08,Graduate student,Male,5,4,2,5,3,4,4,2,2,3,4,4,2,3.625
10/24/2024 18:17:57,Second year,Male,4,5,5,3,2,3,2,2,4,3,3,2,2,3.25
10/24/2024 18:18:17,Graduate student,Female,5,4,5,5,4,4,4,5,4,4,4,4,1,4.5
10/24/2024 18:18:41,Third year,Female,5,4,4,4,4,4,4,4,4,4,4,2,1,4.125
10/24/2024 18:19:06,Graduate student,Male,3,4,5,5,5,4,3,4,3,3,3,2,1,4.125
10/24/2024 18:19:23,Graduate student,Male,4,4,4,3,3,4,4,4,2,4,3,4,1,3.75
10/24/2024 18:19:58,First year,Male,4,4,4,4,2,2,1,5,4,3,5,4,1,3.25
10/24/2024 18:20:21,Graduate student,Female,4,4,5,4,4,5,4,2,2,3,3,2,1,4
10/24/2024 18:20:41,Graduate student,Male,5,3,4,4,4,4,5,4,3,4,3,1,2,4.125
10/24/2024 18:21:05,Graduate student,Male,5,3,4,5,4,5,4,4,5,4,3,4,1,4.25
10/24/2024 18:21:30,First year,Male,4,4,4,4,5,3,4,2,4,2,4,4,2,3.75
10/24/2024 18:22:03,Third year,Female,4,4,5,2,3,5,4,2,3,4,1,4,1,3.625
10/24/2024 18:22:22,First year,Female,5,5,5,2,3,3,2,2,2,2,2,1,2,3.375
10/24/2024 18:22:26,Third year,Female,5,4,4,3,3,4,4,5,4,4,2,4,2,4
10/24/2024 18:22:51,Third year,Female,5,4,4,4,3,5,4,3,4,3,4,4,1,4
10/24/2024 18:23:09,Third year,Male,5,4,4,3,4,4,3,4,4,3,5,4,1,3.875
10/24/2024 18:23:51,Third year,Female,4,3,3,4,3,4,5,3,4,4,4,2,3,3.625
10/24/2024 18:24:47,Graduate student,Female,4,3,4,4,3,4,2,4,4,4,5,4,2,3.5
10/24/2024 18:25:43,Graduate student,Female,5,5,4,4,4,3,5,3,4,4,4,4,1,4.125
10/24/2024 18:26:17,Third year,Male,4,5,5,5,4,5,4,3,3,4,4,5,1,4.375
10/24/2024 18:26:44,Graduate student,Male,4,4,5,5,4,4,5,2,2,2,3,1,2,4.125
10/24/2024 18:27:03,Third year,Male,3,4,5,3,1,2,3,2,3,2,2,4,3,2.875
10/24/2024 18:27:21,Graduate student,Male,2,5,4,5,2,2,2,3,3,3,4,4,2,3.125
10/24/2024 18:27:39,First year,Male,4,4,5,5,2,1,3,2,4,3,4,5,1,3.25
10/24/2024 18:27:57,Third year,Female,4,4,3,5,5,3,3,3,4,4,3,4,1,3.75
10/24/2024 18:28:30,Third year,Female,3,4,4,5,5,3,3,3,4,4,3,2,1,3.75
10/24/2024 18:28:49,Graduate student,Male,2,4,5,5,3,4,5,4,4,4,5,2,2,4
10/24/2024 18:29:15,Graduate student,Female,2,4,3,4,4,4,2,4,4,2,4,4,1,3.375
10/24/2024 18:29:45,Third year,Male,4,5,4,3,4,3,5,4,3,5,3,4,2,4
10/24/2024 18:30:09,Graduate student,Male,4,4,4,3,4,4,2,2,2,3,3,4,2,3.375
10/24/2024 18:30:32,Third year,Male,3,3,4,5,2,3,3,2,3,3,3,2,1,3.125
10/24/2024 18:30:53,Third year,Male,3,4,4,5,3,4,2,4,4,3,4,4,1,3.625
10/24/2024 18:31:12,Graduate student,Female,3,5,5,2,2,3,4,3,5,2,2,5,2,3.375
10/24/2024 18:31:34,Third year,Female,3,4,5,5,4,3,3,5,4,4,4,4,1,4
10/24/2024 18:31:52,Graduate student,Female,4,4,3,4,5,2,2,5,3,3,4,4,2,3.625
10/24/2024 18:32:46,Third year,Female,2,5,4,5,4,3,4,5,4,4,4,1,1,4
10/24/2024 18:34:23,Graduate student,Female,3,5,4,3,2,2,4,3,3,3,3,4,4,3.25
10/24/2024 18:34:47,Third year,Female,4,5,4,3,4,4,4,2,3,5,3,4,2,3.75
10/24/2024 19:29:15,Third year,Male,5,5,5,5,3,4,5,3,5,4,4,4,2,4.375
10/24/2024 19:29:34,Third year,Female,4,4,4,5,5,5,5,4,4,4,4,5,2,4.5
10/24/2024 19:29:53,Graduate student,Male,5,4,5,5,4,5,5,5,5,5,4,5,2,4.75
